BEDSCode,recType,name,currentCounts_onSitePositiveStudents,currentCounts_onSitePositiveTeachers,currentCounts_onSitePositiveStaff,StreetAddress,City,State,Zip+4,longitude,latitude
307500014075,Public,ROBERT E PEARY SCHOOL,0,0,0,16-66 HANCOCK ST,RIDGEWOOD,NY,11385,-73.904888,40.698699
307500014177,Public,PS 177,0,0,0,56-37 188TH ST,FLUSHING,NY,11365,-73.787419,40.7434
307500014224,Public,PS 224,0,0,0,252-12 72ND AVE,BELLEROSE,NY,11426,-73.721594,40.749556
307500014233,Public,PS 233,0,0,0,91-30 METROPOLITAN AVE,FOREST HILLS,NY,11375,-73.855543,40.708431
307500014255,Public,PS 255,0,0,0,158-40 76TH RD,FLUSHING,NY,11366,-73.80938,40.724195
307500014256,Public,PS 256,0,0,0,525 CONVENT RD,SYOSSET,NY,11791,NULL,NULL
307500014277,Public,RIVERVIEW SCHOOL (THE),0,0,0,50-15 44TH ST,WOODSIDE,NY,11377,-73.921346,40.73668
307500014721,Public,JOHN F KENNEDY JR SCHOOL,0,0,0,57-12 94TH ST,ELMHURST,NY,11373,-73.867882,40.735613
307500014752,Public,QUEENS TRANSITION CENTER,0,0,0,142-10 LINDEN BLVD,JAMAICA,NY,11436,-73.800875,40.683473
307500014811,Public,PS Q811,0,0,0,61-25 MARATHON PKWY,LITTLE NECK,NY,11362,-73.728412,40.756481
307500014993,Public,PS 993,0,0,0,85-15 258TH ST,FLORAL PARK,NY,11001,-73.708617,40.734266
307500015025,Public,SOUTH RICHMOND HIGH SCHOOL IS/PS 25,0,0,0,6581 HYLAN BLVD,STATEN ISLAND,NY,10309,-74.218688,40.512019
307500015037,Public,DAVID MARQUIS SCHOOL OF THE ARTS (THE),0,0,0,333 MIDLAND AVE,STATEN ISLAND,NY,10306,-74.151368,40.5641
307500015373,Public,PS 373,0,0,0,555 PAGE AVE,STATEN ISLAND,NY,10307,-74.095454,40.64118
307500015721,Public,RICHARD H HUNGERFORD SCHOOL (THE),0,0,0,155 TOMPKINS AVE,STATEN ISLAND,NY,10304,-74.077054,40.620835
310100010015,Public,PS 15 ROBERTO CLEMENTE,0,0,0,333 E 4TH ST,NEW YORK,NY,10009,-73.978747,40.722075
310100010019,Public,PS 19 ASHER LEVY,0,0,0,185 1ST AVE,NEW YORK,NY,10003,-73.984496,40.730009
310100010020,Public,PS 20 ANNA SILVER,0,0,0,166 ESSEX ST,NEW YORK,NY,10002,-73.986312,40.721305
310100010034,Public,PS 34 FRANKLIN D ROOSEVELT,0,0,0,730 E 12TH ST,NEW YORK,NY,10009,-73.975058,40.726008
310100010063,Public,STAR ACADEMY PS 63 (THE),0,0,0,121 E 3RD ST,NEW YORK,NY,10009,-73.986214,40.72444
310100010064,Public,PS 64 ROBERT SIMON,0,0,0,600 E 6TH ST,NEW YORK,NY,10009,-73.981597,40.72313
310100010110,Public,PS 110 FLORENCE NIGHTINGALE,0,0,0,285 DELANCEY ST,NEW YORK,NY,10002,-73.9798,40.7162
310100010134,Public,PS 134 HENRIETTA SZOLD,0,0,0,293 E BROADWAY,NEW YORK,NY,10002,-73.983854,40.714248
310100010140,Public,PS 140 NATHAN STRAUS,0,0,0,123 RIDGE ST,NEW YORK,NY,10002,-73.983769,40.719148
310100010142,Public,PS 142 AMALIA CASTRO,0,0,0,100 ATTORNEY ST,NEW YORK,NY,10002,-73.984116,40.718121
310100010184,Public,PS 184 SHUANG WEN,0,0,0,327 CHERRY ST-2ND FL,NEW YORK,NY,10002,-73.985438,40.711125
310100010188,Public,PS 188 ISLAND SCHOOL (THE),0,0,0,442 E HOUSTON ST,NEW YORK,NY,10002,-73.97738,40.719888
310100010315,Public,EAST VILLAGE COMMUNITY SCHOOL (THE),0,0,0,610 E 12TH ST,NEW YORK,NY,10009,-73.978254,40.727537
310100010332,Public,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,0,0,0,220 HENRY ST,NEW YORK,NY,10002,-73.986051,40.713362
310100010361,Public,CHILDREN'S WORKSHOP SCHOOL (THE),0,0,0,610 E 12TH ST,NEW YORK,NY,10009,-73.978254,40.727537
310100010363,Public,NEIGHBORHOOD SCHOOL,0,0,0,121 E 3RD ST,NEW YORK,NY,10009,-73.986214,40.72444
310100010364,Public,EARTH SCHOOL,0,0,0,600 E 6TH ST,NEW YORK,NY,10009,-73.981597,40.72313
310100010378,Public,SCHOOL FOR GLOBAL LEADERS,0,0,0,145 STANTON ST,NEW YORK,NY,10002,-73.986038,40.72004
310100010839,Public,TOMPKINS SQUARE MIDDLE SCHOOL,0,0,0,600 E 6TH ST,NEW YORK,NY,10009,-73.981597,40.72313
310100011292,Public,ORCHARD COLLEGIATE ACADEMY,0,0,0,220 HENRY ST,NEW YORK,NY,10002,-73.986051,40.713362
310100011448,Public,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,0,0,0,200 MONROE ST,NEW YORK,NY,10002,-73.984128,40.712269
310100011450,Public,EAST SIDE COMMUNITY SCHOOL,0,0,0,420 E 12TH ST,NEW YORK,NY,100094095,-73.982472,40.729152
310100011458,Public,FORSYTHE SATELLITE ACADEMY,0,0,0,198 FORSYTH ST,NEW YORK,NY,10002,-73.990468,40.722415
310100011515,Public,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,0,0,0,145 STANTON ST-4TH FL,NEW YORK,NY,100021694,-73.986038,40.72004
310100011539,Public,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH HIGH SCHOOL",0,0,0,111 COLUMBIA ST,NEW YORK,NY,100021940,-73.979581,40.719416
