BEDSCode,school_name,address,city,state,zip,longitude,latitude
307500015025,SOUTH RICHMOND HIGH SCH IS/PS 25,6581 HYLAN BLVD,STATEN ISLAND,NY,10309,-74.218688,40.512019
307500015037,DAVID MARQUIS SCHOOL OF THE ARTS,333 MIDLAND AVE,STATEN ISLAND,NY,10306,-74.151368,40.5641
307500015373,PS 373,555 PAGE AVE,STATEN ISLAND,NY,10307,-74.095454,40.64118
307500015721,RICHARD H HUNGERFORD SCHOOL (THE),155 TOMPKINS AVE,STATEN ISLAND,NY,10304,-74.077054,40.620835
310100010015,PS 15 ROBERTO CLEMENTE,333 E 4TH ST,NEW YORK,NY,10009,-73.978747,40.722075
310100010019,PS 19 ASHER LEVY,185 1ST AVE,NEW YORK,NY,10003,-73.984496,40.730009
310100010020,PS 20 ANNA SILVER,166 ESSEX ST,NEW YORK,NY,10002,-73.986312,40.721305
310100010034,PS 34 FRANKLIN D ROOSEVELT,730 E 12TH ST,NEW YORK,NY,10009,-73.975058,40.726008
310100010063,STAR ACADEMY PS 63 (THE),121 E 3RD ST,NEW YORK,NY,10009,-73.986214,40.72444
310100010064,PS 64 ROBERT SIMON,600 E 6TH ST,NEW YORK,NY,10009,-73.981597,40.72313
310100010110,PS 110 FLORENCE NIGHTINGALE,285 DELANCEY ST,NEW YORK,NY,10002,-73.9798,40.7162
310100010134,PS 134 HENRIETTA SZOLD,293 E BROADWAY,NEW YORK,NY,10002,-73.983854,40.714248
310100010140,PS 140 NATHAN STRAUS,123 RIDGE ST,NEW YORK,NY,10002,-73.983769,40.719148
310100010142,PS 142 AMALIA CASTRO,100 ATTORNEY ST,NEW YORK,NY,10002,-73.984116,40.718121
310100010184,PS 184 SHUANG WEN,327 CHERRY ST-2ND FL,NEW YORK,NY,10002,-73.985438,40.711125
310100010188,PS 188 ISLAND SCHOOL (THE),442 E HOUSTON ST,NEW YORK,NY,10002,-73.97738,40.719888
310100010315,EAST VILLAGE COMMUNITY SCHOOL (THE),610 E 12TH ST,NEW YORK,NY,10009,-73.978254,40.727537
310100010332,UNIVERSITY NEIGHBORHOOD MIDDLE,220 HENRY ST,NEW YORK,NY,10002,-73.986051,40.713362
310100010361,CHILDREN'S WORKSHOP SCHOOL (THE),610 E 12TH ST,NEW YORK,NY,10009,-73.978254,40.727537
310100010363,NEIGHBORHOOD SCHOOL,121 E 3RD ST,NEW YORK,NY,10009,-73.986214,40.72444
310100010364,EARTH SCHOOL,600 E 6TH ST,NEW YORK,NY,10009,-73.981597,40.72313
